NumeroContrato,HasDifferences,ValorAquisicao_Internal,ValorAquisicao_Fund,ValorAquisicao_Difference,ValorAquisicao_Diff_Percent
101f489b-1e83-4dd3-b724-147d3f08eb84,True,529486.9499999998,529487.05,-0.10000000020954758,1.888620320545093e-05
10c37a89-5f29-41f0-951c-1d8fc574de81,True,1766044.9699999997,1766044.91,0.05999999982304871,3.39742208611494e-06
10de64f3-a4a3-4e02-9128-c35b13c7c753,True,214952.17000000007,214952.24,-0.06999999991967343,3.256537355445723e-05
12019d9d-ae59-4b53-b4d3-f4dc5590e0b2,True,474966.64999999997,474966.72,-0.07000000000698492,1.4737874688775021e-05
127bf014-70df-4503-9f72-c7bfd5d38dbe,True,209046.0399999998,209045.97,0.0699999998032581,3.348545767385906e-05
137d1541-3a5a-492a-ab00-5cfdec722e3d,True,2170.62,2159.39,11.230000000000018,0.5200542745868054
138b98ae-a024-421e-9995-1f5dd2654294,True,81737.78,81737.85,-0.07000000000698492,8.563963941672666e-05
13ce9d38-9dc4-4a00-b668-9d9d86cd08db,True,667216.7000000004,667216.65,0.050000000395812094,7.49381784699349e-06
13da8b0f-1ad6-4c42-b32a-fb9be750d7fe,True,19737.309999999998,19737.37,-0.06000000000130967,0.0003039918692374398
145e4697-31aa-43f2-9ba7-bd5e21e81623,True,2663.75,2675.41,-11.659999999999854,0.4358210517266458
146b45ca-b478-46ad-9289-586b765af382,True,91108.96000000002,91108.88,0.08000000001629815,8.780702826804384e-05
14e9bd54-29a9-4d85-914a-3ca1efcae0d3,True,903.08,904.05,-0.9699999999999136,0.10729495050051586
15227a0c-eb83-400e-b50c-3fee47435caa,True,65458.07,65458.01,0.059999999997671694,9.166181495232087e-05
1598b475-6a4e-4ad3-b0fb-b868096bf969,True,108579.19999999998,108579.25,-0.0500000000174623,4.6049314226670656e-05
15b2c0d8-606b-4b8b-9094-5d1dde4222ab,True,12739.189999999999,12739.24,-0.050000000001091394,0.00039248809191985863
15b9bc39-5802-4d5a-aac2-2d05b4ae2784,True,203276.67999999996,203276.75,-0.07000000003608875,3.443581227862446e-05
15ca4ab6-fe3d-4c73-b29e-55153c9596ec,True,52661.77,52661.69,0.07999999999447027,0.0001519130889921502
15ea30fd-448e-4fa5-a895-ec954f461b8b,True,6740111.590000001,6740111.51,0.08000000100582838,1.186923998024899e-06
15f53a36-9da9-48cb-96c2-fd9a379b6035,True,66379.56000000001,66379.51,0.0500000000174623,7.532444879069204e-05
16074f79-8da3-4d78-a2b0-698a77099136,True,18029.809999999998,18029.75,0.059999999997671694,0.0003327833164501543
16d357fc-71dc-46f6-8984-436b7b7fd769,True,31421.970000000005,31421.91,0.06000000000494765,0.000190949563552781
174f714f-ad98-4fb1-bc0c-afed27a7be4b,True,69304.32,69304.27,0.05000000000291038,7.214562681766993e-05
179bc569-f143-492b-924e-9140698e6cfe,True,90964.81000000001,90964.87,-0.05999999998311978,6.595952919310475e-05
17a4c0df-bcdb-4f8b-9e70-c87aba66721e,True,67467.24,67490.66,-23.419999999998254,0.0347010979000624
17b9b4b0-cef4-448c-876e-810174d1462f,True,1860.31,1878.55,-18.24000000000001,0.9709616459503346
17e3bd50-6f81-4df4-a1b2-95317808270e,True,1392432.4200000004,1392432.49,-0.06999999959953129,5.027173676443825e-06
191fb187-2b5b-4602-bd80-7ee1232560de,True,546203.77,546203.71,0.060000000055879354,1.0984912580670562e-05
194cc3c7-c486-4104-b885-3b59047080e1,True,615021.3800000004,615021.45,-0.06999999959953129,1.1381716783948153e-05
19961d92-1891-4b87-924f-88ad2563d078,True,781.74,785.83,-4.090000000000032,0.5204688036852795
19a9ecac-6ad8-4a87-976a-9f983692d36b,True,15443.550000000001,15443.2,0.3500000000003638,0.0022663696643206318
19b75992-9f0a-42ba-8958-b0224053ac8a,True,5520.97,5535.89,-14.920000000000073,0.26951402574834527
19e28053-d587-448e-b7f9-46125d9afb7f,True,19727.039999999997,19727.09,-0.05000000000291038,0.0002534585689167048
1a4eea8c-3448-4b9f-b922-562ad03217ac,True,1082459.5399999996,1082459.59,-0.050000000512227416,4.619110124215114e-06
1ab6834f-864d-4a5b-82b3-c83be632db71,True,5594.49,5607.12,-12.63000000000011,0.22524932585712645
1ac0fcbc-142d-4e3c-90d9-f19eb66f0225,True,124234.34999999998,124234.4,-0.0500000000174623,4.024650178812173e-05
1af8e1c8-9562-474f-8b08-7af9d8820a84,True,18001.890000000003,18001.61,0.2800000000024738,0.0015554164322106401
1b835751-37ef-4d95-b003-448a895185b9,True,372632.95,372515.85,117.10000000003492,0.03143490404503189
1c5edca7-375d-4df9-898d-fd3fb58ccbbb,True,6258.26,6258.2,0.06000000000040018,0.000958742130331408
1cfaf343-9eaf-4446-8938-0c733ca6b59d,True,71313.52000000005,71313.47,0.05000000004656613,7.011298152588301e-05
1d424592-b210-4813-8d97-e2fc5be6e5fe,True,344.94,345.06,-0.12000000000000455,0.03477656059815816
1d506b63-05c3-4976-ba74-35bd7e12a310,True,92988.14,92988.09,0.05000000000291038,5.377032693424543e-05
1dbab46b-ae5f-446f-85b2-04dee9d5f957,True,452834.83999999985,452834.89,-0.05000000016298145,1.10415520683447e-05
1e180c68-c524-439c-b3d8-4253f7c47498,True,993.16,989.96,3.199999999999932,0.3232453836518578
1f201980-855e-49a8-8c41-75542f730064,True,336582.47000000003,336582.53,-0.059999999997671694,1.782623714833675e-05
1f982b2d-3a54-4d42-9741-dedf50d10c38,True,235.04,249.71,-14.670000000000016,5.874814785150781
1fa0d4dd-1d5d-43a9-8be3-512bb4e39962,True,260.95,261.22,-0.27000000000003865,0.10336115151980653
1fdd2bc1-0e90-43bf-b49d-137b3095eb73,True,7696.47,7696.53,-0.05999999999949068,0.0007795720928716018
2005ebc6-f2f6-40df-9ecf-ab3379afcf8d,True,1082.41,1080.67,1.740000000000009,0.16101122451812386
201c3dee-55db-468d-a915-ecdb8d2c1933,True,845139.9600000001,845139.9,0.060000000055879354,7.099416328098975e-06
206cf069-a22f-4233-bb16-3c6ccc70e30c,True,72543.80999999998,72543.86,-0.0500000000174623,6.89238207306067e-05
206d1f9d-6dde-4619-865b-9e41222d6c52,True,1173.53,1179.36,-5.829999999999927,0.49433591100257157
20bc6ef9-66b3-4d1b-b676-7b281ba2acab,True,3818.7099999999996,3819.2,-0.49000000000023647,0.012829912023466604
