NumeroContrato,ValorFace_Internal,ValorAquisicao_Internal,NumCessions,FundAlias,FundUserId,DataReferencia,CodCnpj,NomeFundo,CnpjSacado,NomeSacado,TipoProduto,TaxaCessao,ValorAquisicao_Fund,ValorPresente,ValorFace_Fund,DataAquisicao,DataVencimento,RatingContrato,DiasAtraso,ValorDesembolso,Bandeira,Banco,Agencia,Conta,Prazo,PrazoAtual,Reverse
21a1637f-609b-4421-b334-129b2af6d1d5,296465.02,275047.29,19,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.16319697760584,275047.28,277200.640398708,296465.02,2025-05-13,2025-11-05,AA,0,275047.28,Visa,1,208,8630592,125,112,0.0
23021b14-acb1-42c7-bd12-b3f275c824d9,162.42,156.74,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,59158642000166,EDENRED SOLUCOES E INSTITUICAO DE PAGAMENTO AHA S.,CSC de arranjo de pagamento banco emissor confirmado,0.161262996803845,156.74,158.6109125048,162.42,2025-05-02,2025-07-28,AA,0,156.74,Elo,1,208,8630592,60,40,0.0
49cd6ffa-b6ac-420c-8747-cbee59fb7284,5467.570000000001,5011.17,7,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,8611734000208,CALCARD S.A. - INSTITUICAO DE PAGAMENTOS,CSC de arranjo de pagamento banco emissor confirmado,0.162355940819527,5011.17,5062.2890036522,5467.57,2025-05-07,2025-12-01,AA,0,5011.17,Visa,1,208,8630592,145,129,0.0
04c6f5d3-5d3e-455c-a23d-e8972f524823,202.81,183.8,2,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,3130170000189,BRASIL CARD INSTITUICAO DE PAGAMENTOS LTDA,CSC de arranjo de pagamento banco emissor confirmado,0.16220175945161,183.8,186.1168246632,202.81,2025-04-30,2025-12-22,AA,0,183.8,Visa,1,208,8630592,165,144,0.0
d3685af2-a238-4d47-8b3d-8941a3f02bed,193.49,177.41,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,10664513000150,BANCO AGIBANK S.A,CSC de arranjo de pagamento banco emissor confirmado,0.161548778172438,177.41,179.851495678,193.49,2025-04-28,2025-11-21,AA,0,177.41,Mastercard,1,208,8630592,146,123,0.0
f64b8477-58a4-4ebb-afd4-8e82735dcff6,35110.55,31842.200000000004,14,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4670195000138,CRED - SYSTEM ADMINISTRADORA DE CARTOES DE CREDITO,CSC de arranjo de pagamento banco emissor confirmado,0.16093779018312,31842.21,32297.9890526937,35110.55,2025-04-25,2025-12-17,AA,0,31842.21,Mastercard,1,208,8630592,165,141,0.0
9bb4f9a0-3d94-4305-9f08-615d8a0f84a5,37871.030000000006,37011.78,8,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.159853375604183,37011.78,37538.2134721178,37871.03,2025-04-25,2025-06-23,AA,0,37011.78,Visa,1,208,8630592,39,15,0.0
d572b245-b50a-4eec-983d-63ac85279288,193.74,173.46999999999997,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,27098060000145,BANCO DIGIO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.161425756341498,173.48,175.8657113625,193.74,2025-04-28,2026-01-20,AA,0,173.48,Visa,1,208,8630592,186,163,0.0
e0a43112-4a32-4637-a776-968cbdffd688,1148.78,1040.06,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,208000100,BRB BANCO DE BRASILIA SA,CSC de arranjo de pagamento banco emissor confirmado,0.161847793547698,1040.07,1052.5267544312,1148.78,2025-05-02,2025-12-26,AA,0,1040.07,Visa,1,208,8630592,167,147,0.0
091bd5c5-5521-4321-a4e3-e53dbc814d8a,975.52,872.64,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,58160789000128,BANCO SAFRA S A,CSC de arranjo de pagamento banco emissor confirmado,0.162068332763815,872.63,881.516992524,975.52,2025-05-07,2026-01-29,AA,0,872.63,Visa,1,208,8630592,187,170,0.0
9fb20fba-a14f-44aa-b6d8-55e99461b301,219.83,197.28,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,23862762000100,WILL FINANCEIRA S.A. CREDITO FINANCIAMENTO E INVE,CSC de arranjo de pagamento banco emissor confirmado,0.161668796551474,197.28,199.6403502208,219.83,2025-05-02,2026-01-19,AA,0,197.28,Mastercard,1,208,8630592,182,162,0.0
0d999b80-cb0f-422e-a775-f11c693905b6,13496.88,13016.77,11,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,1722480000167,QUERO-QUERO VERDECARD INSTITUICAO DE PAGAMENTO S.A,CSC de arranjo de pagamento banco emissor confirmado,0.161404737109564,13016.77,13164.4520738083,13496.88,2025-05-05,2025-07-30,AA,0,13016.77,Elo,1,208,8630592,61,42,0.0
