NumeroContrato,HasDifferences,ValorFace_Internal,ValorFace_Fund,ValorFace_Difference,ValorFace_Diff_Percent,ValorAquisicao_Internal,ValorAquisicao_Fund,ValorAquisicao_Difference,ValorAquisicao_Diff_Percent
1e47f338-44ca-4353-8fe2-787f5467a8ed,True,,,,,2911.76,2903.12,8.640000000000327,0.29761084626196393
1eaf6d79-2806-41ed-8ce4-daede2a89b15,True,,,,,19102.27,19109.55,-7.279999999998836,0.038096135178477965
1f04f208-5c8e-409f-93da-7ff888daa373,True,,,,,54.1,53.93,0.1700000000000017,0.31522343778973055
203e1f16-638c-45a9-be92-bc12b414b926,True,,,,,30138.619999999995,30108.75,29.869999999995343,0.09920704114250954
20a9f4ce-7617-4ccd-9d33-342ecfdac079,True,,,,,175897.87,175868.25,29.619999999995343,0.016842153145889233
2175eddb-16b4-4499-bb44-a6fcc5394511,True,,,,,2773.66,2767.72,5.940000000000055,0.21461708554333728
21fc872e-eb87-4bdd-bf6e-248f469afeb0,True,,,,,41161.16,41160.09,1.070000000006985,0.002599605588828851
2231e5a1-6dd6-44ec-a825-2fb3ebac011b,True,,,,,731.39,729.16,2.230000000000018,0.3058313676010777
24b038b7-ae6c-4671-8f0c-b609bc3284a3,True,,,,,321.57,322.98,-1.410000000000025,0.4365595392903663
25a85618-9cd7-4f66-8cc7-d433e1671f22,True,,,,,5161921.899999996,5161921.81,0.08999999612569809,1.7435366020334605e-06
25c56380-3cb9-4c34-8a57-ae5a870bdcb7,True,,,,,135998.98,135891.36,107.62000000002445,0.07919561626289151
279c276a-6575-4625-89a0-0aa403faac1d,True,,,,,56846.41,56846.47,-0.059999999997671694,0.00010554745087543993
280f5669-beff-40a6-903a-62987fef0d34,True,,,,,356024.54000000004,356028.74,-4.199999999953434,0.0011796800449181248
285f9ac0-6228-4dcb-bb32-6d4366698052,True,,,,,157.35,157.09,0.2599999999999909,0.16551021707300967
2980013e-c204-446e-81da-e82ce4879ecd,True,,,,,19771.56,19756.02,15.540000000000873,0.07865956807090128
2a335475-1c8d-4b42-840e-522f93d4ce26,True,,,,,879.99,884.85,-4.860000000000014,0.5492456348533665
2b100a82-972f-4be9-9a83-f80846a77aff,True,,,,,24419.73,24466.84,-47.11000000000058,0.1925463198353387
2bd99765-7503-48ca-bb42-e9f17455341b,True,,,,,38507.590000000004,38507.15,0.4400000000023283,0.0011426449373748207
2c61dcfb-45f1-47ab-8a01-4402c18c784c,True,,,,,852535.8800000001,852535.8,0.0800000000745058,9.38377016830329e-06
2d500323-7450-4864-a747-b5d7833fb579,True,,,,,248207.96999999994,248214.99,-7.02000000004773,0.0028281934141236717
2e605055-99e7-42fb-ac5e-8239360ee96c,True,,,,,3690.4,3702.34,-11.940000000000055,0.3224987440375561
2f726e15-4336-4892-b1d2-9b367ec3b33a,True,,,,,8797.23,8796.56,0.6700000000000728,0.007616613767200733
31698a7a-c469-4931-a0b2-69735f79d0ce,True,,,,,2183457.9300000006,2183457.86,0.07000000076368451,3.2059240549613594e-06
32d41aae-2374-4548-8af6-57efe83f7430,True,,,,,5361.44,5360.38,1.0599999999994907,0.019774717464050882
34874491-b07c-4361-afe1-503aa21d66aa,True,,,,,7915.31,7956.87,-41.55999999999949,0.5223159357888151
37025fd9-3b01-406b-9e63-0d6a08adc2ec,True,,,,,5611.82,5613.0,-1.180000000000291,0.021022626046682542
375551f3-5bd8-42fe-8dce-a5d5eaff68ae,True,,,,,3194.93,3190.89,4.039999999999964,0.12661044410806904
37997d91-ebdf-4fc1-825f-5740bb7d96c1,True,,,,,58211.07000000001,58211.13,-0.059999999990395736,0.00010307307209187614
399d0ae4-9f6d-44b8-8876-f36a379b243e,True,,,,,1369339.38,1369339.43,-0.05000000004656613,3.6513956255948996e-06
3aff157d-fbe7-446f-9096-97ae56535ac4,True,,,,,673636.0599999998,673636.0,0.05999999982304871,8.906887372861414e-06
3cef50bf-3c43-4aeb-acef-ed9c5bd38396,True,,,,,1270058.91,1270058.98,-0.07000000006519258,5.511555066930245e-06
3f30426e-b409-4601-96dc-a0bc2f64b744,True,,,,,7659232.980000001,7659232.92,0.060000001452863216,7.833682834763984e-07
3f6737af-82db-4f71-8d14-1e4c0178deae,True,,,,,3832568.690000002,3832568.63,0.060000001918524504,1.5655297454784132e-06
3fc70293-b144-4db3-8135-2f674c0fa320,True,,,,,1806.97,1816.81,-9.839999999999918,0.5416086437216835
3fde0899-56c3-4b46-aa45-20098af8cf78,True,,,,,2914460.0200000005,2914459.97,0.05000000027939677,1.7155837031241424e-06
4105551d-5db0-4282-8f57-2bac291a428a,True,,,,,4113.68,4115.51,-1.8299999999999272,0.04446593496310122
