id,internal_face_value,fund_face_value,internal_acquisition_value,fund_acquisition_value
027b83c4-299b-4bd8-957d-b0024bcab1f4,,,99805.05000000002,99805.07
027f20ff-21d8-4837-b47a-850e5012cdfe,,,231768.63999999996,231768.66
02934628-37e5-4bf0-b766-37a8341c0d72,,,99399.07,99399.09
029c0a92-4904-493e-bdfa-684d2e52e421,,,48356.98,48356.96
02a63f53-0f98-401c-a34e-fa7442cbc27d,,,15538.08,15538.09
02a79f1e-b805-4f27-a7d8-ec0ee646b92b,,,237330.0,237329.98
02a8ff5a-1a97-4110-9a23-031ad8396c7f,,,1318.86,1326.05
02ab7ff2-e2c3-49d9-b307-c2dcfb19a78b,,,5914.71,5914.7
02b44c51-7c40-4abf-9666-c28c85173d6f,,,3916.1,3916.09
02b9ed34-0d26-4372-8d67-62cb2f07f623,,,67622.82999999999,67622.84
02bd8386-c747-451f-a899-7eef10d67b35,,,35640.87,35640.84
02be378c-10bd-435b-b82e-5494c3bc1867,,,3825.45,3825.46
02d86ff3-6f79-401f-a398-8edf492a33b9,,,39956.27,39956.28
02ddecc5-b5ad-4e40-b59a-25ce7e561329,,,116320.48,116320.46
02eb0197-8fa5-48c6-a3ce-0d6320cac15e,,,3722.93,3722.92
02f59b17-865d-4d48-bd9b-457b5a7d1fa3,,,204471.33,204471.34
02fa1b7c-1ee7-43ee-9fa8-407a4b53b080,,,409.1700000000001,409.16
02fd73fc-3e3c-48c5-8391-4055d8e31d16,,,48338.16,48338.17
030fcb9e-1f80-43c9-824b-f84e545200be,,,7270.49,7270.51
031d0eaf-006c-4423-95fc-8fd2a1b79487,,,89369.84,89369.85
0323a628-4166-484f-95e3-f01ba3ecc201,,,2523.91,2523.92
0324f19d-0dd8-4701-abef-5c16a46f6c89,,,37236.119999999995,37236.13
0333ec69-b23f-4a2a-921d-dfe57d893dd1,,,7981.57,7981.58
03363627-ecd5-4620-8f0e-e10fac9ead14,,,49044.75000000001,49044.74
033a6ec4-2e14-420d-9c56-485958eb530e,,,12113.069999999998,12113.08
034111d6-7a3f-46e8-8908-0e2928d43dd3,,,427878.03,427878.01
034c3725-89e5-4e11-b3e4-dd44f2007fde,,,11196.12,11196.13
03531b6b-37d3-4acc-9d54-f788395ff9c6,,,307244.06999999995,307244.08
0356894a-66ce-445f-97e7-8ba2894069bc,,,539759.4,539759.39
0359f60d-c9dd-4261-9b72-999f55888b25,,,20939.52,20939.51
035b5fe0-52e6-429b-b7ef-bd1e431c53a0,,,34897.82,34897.81
036f1ca2-b6b6-4b56-9e8e-a48105dae3f7,,,24769.07,24769.05
037c1e09-0a76-40d4-86e9-d125d779940f,,,11781.82,11736.52
037d1cc7-6cde-448f-b452-da2ada0a2074,,,12837.47,12837.46
037e1267-4a4d-4696-a1bc-1e535ddf8758,,,1571.3799999999997,1571.36
0391986b-480d-498e-a6c6-6801e882fdbc,,,8587.090000000002,8587.08
0399bf9a-b978-482a-9511-0530d019b681,,,19176.14,19176.15
039deaa3-ce51-480a-97cc-b38732b4de97,,,3997.48,3997.49
03a5ac6a-8885-4e16-9b17-8f1f12c7f4f7,,,4070.829999999999,4070.84
03b697b8-3cce-4301-8ed0-5df2134797ec,,,156217.82,156217.81
03c157cd-2df1-44bc-80b4-cca93b27dc05,,,42725.18,42725.17
03caf67b-e1a8-4377-b39c-bfbc7a92ddc5,,,20991.78,20991.79
03ce97fd-3fc7-4dff-90b9-0a023703200a,,,16359.080000000002,16359.12
03d1accb-e07e-4720-9120-5c64d9836640,,,16452.57,16452.58
03da7b3d-0ab6-426c-80ff-dcbf1c447ace,,,20087.51,20087.5
03daa974-e855-4f61-a957-caf28ad5a140,,,2589.18,2589.19
03dc54fb-3081-4748-81d0-0a69b1fbd088,,,270955.55999999994,270955.54
03e11f4e-1e25-43af-9422-09c3e9bdc38f,,,202348.87000000005,202348.9
03e92cee-2e18-4627-ba6f-7f61c4aebdac,,,2814.54,2814.55
03ecb875-ab29-4c2a-99f9-2e5459d805de,,,11979.08,11979.09
03f282cc-b4ed-475a-be98-8d6bef0acb6e,,,2779.09,2779.08
03fcb116-d35c-44c1-b31a-76c028c4c194,,,164985.5,164985.49
0408f477-b037-4712-801f-22fe5845686e,,,3830.78,3830.79
04140af7-bbdb-476b-ae79-62d05cb61f6b,,,4401.7,4401.69
041e31eb-3cd0-49d4-a556-61b1bcb6c94c,,,313.6,313.59
042a1a36-a3de-486f-9945-935ae5a8d40f,,,3426.130000000001,3426.12
042c02ac-285c-4237-acc8-646b74b8658e,,,8866.51,8866.5
043137ff-cce4-4443-bfb7-d2c70f716514,,,1758962.2599999993,1758962.28
0443ec75-7d52-48ec-8e93-aaba4b03fd52,,,7212.41,7212.42
04445ce5-4162-4b4b-b3b4-a5f183ea5010,,,280732.44999999995,280732.43
04447140-b50b-4b17-ab42-2496f1b70d59,,,17838.329999999998,17838.34
0450eba5-921b-4f35-9d68-f46357948a50,,,1597477.66,1597477.69
04549302-60fc-4223-9765-e23935ccb9e4,,,16024.34,16024.33
0455cd11-8682-4b51-92d4-0e11adcef0d1,,,38480.86,38480.85
045aa189-b613-4550-811a-21bccff5c8e4,,,615342.55,615342.56
0464b9f9-07a7-4252-b4eb-fbf3ae3e685d,,,82.42,82.52
0465d425-8ae6-419d-a146-505be2aca32d,,,247117.17000000004,247117.15
04669f23-330f-4ff0-92ee-7112a501c590,,,3655.18,3655.17
0467d235-94a6-4401-a98d-93b441b3e22f,,,74313.70000000003,74313.72
0474d3ed-e2a8-4480-b268-7cd93a381219,,,156313.41,156313.4
0475c7b8-323e-4258-baa1-d6a1ad98eec1,,,26167.27,26167.26
047825f4-8ba4-4790-bf2e-161acf0394f9,,,4335.63,4335.62
0479f09d-df00-4e2a-a7f3-9d7126c6d1b6,,,1132603.72,1132603.73
048c8047-6178-4007-b958-3367f5a3483c,,,12249.06,12249.05
048f488a-f1ef-4078-bbdc-56ca38adbd03,,,209651.85,209651.84
04adfe11-5c4e-46e0-8cc7-12b78cb80f78,,,171522.28000000003,171522.27
04b15cb7-1481-4591-a4d0-868ac991afca,,,23703.57,23700.19
04b163fa-2f91-46f8-8e21-0df3f3dcd44b,,,120524.76,120524.75
04c2bc4c-3f29-4ee7-9e0b-7f4f159c269a,,,15225.59,15225.6
04c67ce3-eb1c-4c95-a81b-7cc43cf6b08f,,,527521.0299999999,527521.04
04cc55f6-366d-4355-b94b-c8c4ec7320ca,,,12548.39,12548.38
04d1253c-461e-4ff6-8fdc-14a068521745,,,293981.7899999999,293981.77
04d172e3-7736-4b53-851b-8703d77c2d88,,,2899.83,2899.85
04d17bca-71c7-4b4e-92dc-b5c9300cb8df,,,11938.79,11938.78
04d27b1f-fc37-4ea0-acf6-d5cb4d1a864d,,,293009.88,293009.9
04d68823-f535-4070-ae9e-4cbbfb1fe3d9,,,4409.79,4409.8
04d7adf0-d03c-4566-aaf6-599cb9893163,,,13510.69,13510.68
04ea7e42-99b5-432f-8e9c-92be5f5cf128,,,67120.87,67120.88
04f0a90d-2046-4fb5-950c-d31764783bc1,,,35434.99,35435.01
04f0fa58-0bfc-48d8-9b32-45867f055a68,,,47921.93,47921.95
04f424e7-aff9-4ac2-8a83-8bc792fd750f,,,110928.94,110928.93
04f5e67f-3971-41f9-b0cc-7c358eb374c7,,,22397.62,22397.6
04f72d2d-72b5-4cbe-be20-85d1ac0d3905,,,9669.69,9669.67
04ffaae9-e7c1-4b5b-ad43-45688ab4c16a,,,9617.48,9617.47
05026018-6ceb-49b2-8926-b08a589028da,,,144.8,144.79
050597a7-e3a4-4979-b0ca-47ec2663f2ca,,,290723.19000000006,290723.21
0506358e-3c36-4312-a3de-01cc9c1f216f,,,3076.73,3076.72
051adf4d-9f12-47f3-93c3-6def727c1d83,,,7590.71,7590.72
052b5dba-80ea-4a4e-b3a5-e004be92a226,,,30392.58,30392.57
0535f42d-c979-474b-963a-2d1d50207ed2,,,80931.65,80931.66
0545b81b-b84a-4af4-9e8a-d0d97eae36b8,,,52146.17999999999,52146.19
0553a051-daad-4f5b-a9f8-84c1b9fc2583,,,6413.28,6413.29
0558e9b1-48a4-48a5-a6dc-282baeb5652f,,,5222.74,5222.73
056afbbd-9bfd-4be3-9173-4a8af5f27bf4,,,737631.4799999997,737631.46
056f8bb1-73d8-4274-a855-a4df17ac0ecc,,,250133.55999999997,250133.54
05747a20-9069-4c72-bcd8-a194a70642c6,,,4232.01,4232.0
05781023-c681-420f-837d-dc7c23987128,,,921.31,921.32
0584a2ef-6f96-4fc3-8134-cf2e0b901891,,,7816383.220000004,7816383.15
058c485e-ecd9-4560-aefe-fbbff535e366,,,432158.98,432158.96
05a82b6a-be9e-4450-8dc8-aec816a1f894,,,11934.2,11934.22
05ad2129-98ec-41d8-a743-d4ce61cbd664,,,17825.4,17825.39
05b95c0e-4bd2-44db-94fb-7a057a5c1880,,,272001.29000000004,272001.27
05c6a2fc-4324-4afe-bdf1-6d4263930174,,,12393.67,12393.68
05dcb3c3-1ba5-4b17-bdb9-75b67590ded2,,,6939.7699999999995,6939.78
05de6502-03dd-4430-a67e-2bb5e6d8745c,,,60024.74999999999,60024.76
05e2e1cb-c6cc-4af4-91bc-0de991640dbc,,,337019.19,337019.18
05e63421-16b1-4caf-8fcc-2f752ab47bee,,,540849.8899999999,540849.91
05e6dca2-a750-49fa-bdc2-d56122a91512,,,7663.06,7663.05
05ec85f7-385b-4341-8b3e-34ba7780906a,,,124043.08000000002,124043.1
05fa5208-b37d-4e09-ba93-9b81a55eea37,,,281859.31999999995,281859.34
06037d40-ff84-4243-974e-026897c1e24a,,,11953.76,11953.77
060647e0-47b6-41b3-97a6-fcd6fe29f14f,,,2609.68,2609.69
060954f6-9290-475e-9a84-00ddba6cff77,,,264325.37,264325.38
060f4611-e3d6-4c5a-99be-4761f630f68f,,,103407.43,103407.45
06105f77-b70d-4b7a-9a0a-27790a58b4c2,,,9347.79,9347.8
0625e443-0c6b-4682-a603-f927fa752649,,,8465.610000000002,8465.6
0629470e-3bc8-43d6-bd4c-fff2fd71f141,,,48949.53,48949.52
0642fcb2-f82f-4332-81e2-fb5b7660fb33,,,6639.069999999999,6639.05
065a6024-4d9f-4a7d-bf1a-f2292969b296,,,3295.0199999999995,3295.03
065b1dd7-a625-41f7-af61-e7827b2ed3a9,,,106849.36000000002,106849.35
065f7301-8852-4fc9-8af1-cca6bf908153,,,12447.81,12447.8
066822b7-9241-4677-a2ba-7ecbb935f8df,,,19968.709999999995,19968.72
06683711-f8aa-4507-91bd-c0209d8b689b,,,533517.3099999999,533517.28
06713e83-17c9-41d6-bee4-e3c20bce4152,,,86699.29999999999,86699.31
06754e48-4802-4af0-abc7-7cc3eac8f003,,,69962.29999999999,69962.28
067bbd84-c64f-4934-9028-b124ea0c35c0,,,29355.140000000003,29355.13
0681f074-4a36-483a-a920-6f2dfe204e03,,,4660.179999999999,4660.19
06871169-1a48-468b-846c-06857ff0b728,,,12264.96,12264.97
0687bfbc-3f38-49f6-a7d7-95bec806e4f7,,,1401570.7499999998,1401570.79
06882e1c-944b-4b2e-9b19-312a92686cbc,,,9170.08,9154.0
06885f7b-4f5c-4ea6-9f58-21cebb0d305b,,,31267.69,31267.68
068e4292-1ddd-414d-9290-c4e125b8f208,,,5675.66,5675.64
0698703d-a546-494d-b474-0dd6507ce5a0,,,2686.9300000000003,2686.92
06acd1f0-7ba7-4fb9-b650-96c3f32138de,,,7373.67,7373.68
06b0dd61-9fa3-4255-9f0d-fde1ac7e6cc2,,,7485.94,7485.93
06b58331-e2cf-4f34-b93a-c5f25f4f9482,,,63394.33,63394.32
06b7a38a-8f90-45e7-84f5-0168b817d2c8,,,25388.319999999996,25388.34
06ca4ac1-bd66-4dca-89e1-d007abca9e2c,,,419158.41,419158.4
06cbff2a-34da-46b8-bf45-1235b2455e15,,,3233.75,3233.74
06ccd94e-a1c2-47f1-8967-b9d4e0b3c6c9,,,149305.33,149305.34
06d5c44f-3deb-483f-bbfc-4317cc677259,,,4860.46,4860.47
06dbb7c8-ad93-414e-ac4c-e38b23678a6e,,,5641.0,5640.99
06dd8e37-d72c-416f-a92c-68ed22cb6bd1,,,37705.21,37705.22
06ecb3c8-efbf-49ee-913b-94d1c46c7534,,,320034.82,320034.8
06fecfbf-d6de-4474-9a6c-6fe316f6953b,,,29561.349999999995,29561.36
07062dea-3220-4238-97a5-3d9ff7d4e4b9,,,3993.56,3981.96
07083c08-96aa-4ee7-8cc2-b0b141a4029b,,,32078.83,32078.85
070cfbdf-2f42-4b36-a6dd-535ae98c7050,,,8285.240000000002,8285.22
070e08c5-6954-4928-a469-cf536c470513,,,23819.37,23818.56
072427ad-c282-449f-a8ca-78ec9c880fa7,,,1966.73,1966.71
072627ba-d7cf-410f-b029-0208751231bf,,,42280.28,42280.27
0728e445-b924-49d4-8988-7d31774bbee4,,,3012.23,3012.25
072e4423-e697-4ded-81e1-dcc0e13f15c8,,,143503.80000000002,143503.82
07371392-40e7-41b4-8294-942be61cc9ce,,,563841.05,563841.03
07499007-41b5-4457-b4ed-2cc1a1ba8cdf,,,127962.67,127962.69
074a36ac-04e0-40cf-a1b8-4500b89fe3c8,,,16316.17,16316.16
07501f95-1052-4222-b3e0-981b8de9a6ab,,,8090.73,8090.74
0754beec-c0fd-409b-b589-2ae561dc13c8,,,38803.619999999995,38803.64
07557ca2-734b-48d1-a1a4-b62a6dcdaf92,,,142380.54999999996,142380.57
075a7e7d-8f2a-4651-bef0-9823c5979c11,,,1592122.0100000002,1592121.96
075d2eeb-5eb1-46f0-9452-2f370e763c21,,,654.3900000000001,654.38
07660f12-cceb-404c-8540-7873a85c3848,,,6442.619999999999,6442.63
076934ed-1054-4460-a4c4-1541c1363a94,,,2676.61,2676.6
077a7414-eb0c-4c72-a0b3-4b69ee00df6a,,,3169.4400000000005,3169.43
07804118-a6cf-4ace-a148-686e1e3e562b,,,67930.53,67930.51
07845a5d-473e-4600-9d5d-c9c81d77e919,,,15477.06,15477.07
078e8979-4d81-4761-8298-fa924a19aeba,,,407727.86999999994,407727.89
079b5c5d-532f-4a5f-8da7-fcad454b8cf8,,,164186.64999999997,164186.63
07a65542-b1f6-4690-b4b3-1d53d62351c9,,,161261.68,161261.69
07a7970f-9396-4fcf-9f62-6739e9e950a3,,,10849.85,10849.84
07abeac7-a66b-48d6-884a-eee734a39c6e,,,5045.77,5045.76
07aca5ce-1b86-4d94-b709-bf8f7c664937,,,73057.56,73057.57
07b04fa0-31e6-4bd7-8d6e-d792bec70b3b,,,111756.87,111756.88
07b2fdbf-8ad6-4ffe-bde4-710b9e944d7d,,,79634.51,79634.52
07b6a532-ec21-49d9-b62a-d2918e7214fb,,,65460.89999999998,65460.91
07d845b8-9d89-41cc-bc7c-ba65fcca10e4,,,373933.3300000001,373933.39
07dc733c-de88-4629-8d06-6dde37cab147,,,58338.74,58338.75
07e331ce-8502-4b7c-8cda-37dd060525d8,,,16261.28,16261.29
07e6b794-22b2-48dc-b450-2ab1a74932f9,,,424.4299999999999,424.44
07e9b576-26a2-4fa8-8863-26f3be4ddcc4,,,56302.29,56302.28
07f01428-7461-4b94-b10f-a122b86aeb00,,,26182.89,26182.87
07f530a5-3c0b-47b3-9133-778d0e01b9a2,,,12205.51,12205.52
07f9c375-cc76-4fbf-80b4-63346dacbd63,,,696636.27,696636.21
080212db-274c-407d-a133-879dfa8ec208,,,338.29,338.28
081c4956-1b55-4d26-a1b6-d2e02f2b8b2f,,,183311.32,183311.34
0823cdb6-8ba3-441d-83ec-0988e3d71821,,,103168.36,103168.34
082683a8-9a96-44fd-a625-d0ec679b2011,,,1853.02,1853.03
0829138a-3c57-40e5-ada1-184fd9458b8f,,,91976.65,91976.63
082c7514-1c10-46f2-8be5-b4691ac6f9b5,,,1132.88,1132.87
082ed6f7-2f57-418a-989c-9b76bcd74612,,,88068.13000000002,88068.12
08312e94-7ce1-4b25-85f8-2dddf4912fad,,,642.93,642.94
08363a1f-049f-4dac-bcaa-3777f7477e33,,,175191.62,175191.63
083fd223-093d-4a9d-b5ba-a1bbd21833a0,,,7486.66,7486.67
084da7b0-800f-479d-b48a-62461cc8cd34,,,11978.57,11978.56
084dddc5-9e50-4056-b0bf-684851a5eb86,,,42562.39,42551.38
08506f4e-f36a-4621-8b9a-05a500c43714,,,27977.35,27977.36
085e1a42-0493-47f1-806e-867ed3185c0c,,,17677.870000000003,17677.86
086e7a57-ca77-4da5-bb34-1c2f81900195,,,42379.89,42379.88
088146c8-4d29-4aa1-b7f5-dd2f61ad5ff6,,,580877.9000000001,580877.92
08832475-b847-4b8c-ad40-34b244bbe4b4,,,52347.600000000006,52347.59
088a7a4d-4db2-4d1b-adfc-1ba0dc87c4ea,,,15675.06,15675.05
088d5bb0-1bfc-43f2-86f7-755beb413028,,,87880.25999999998,87880.28
088dcbe2-e791-4237-a5ad-d41539c33366,,,2485.2,2485.21
08952fff-ce9c-4cd5-bdb1-ed0240bc4c36,,,144917.95000000004,144917.94
0895a0dd-15ae-4532-8f43-9baf6505c23b,,,434757.5500000001,434757.51
0896209c-0122-42da-83e4-5d6aa932dc3b,,,7985.049999999999,7985.07
089a5737-f45f-47e7-af4d-c9178369e98b,,,7083.0599999999995,7083.07
089dbbff-3ffa-4ca8-9ad5-d3950df1432c,,,23631.99,23632.0
08a999f8-75f1-4848-a4ea-9160aac9cbd4,,,4123.66,4123.67
08abec0a-a932-48c0-8b41-de1fc2cd734f,,,13234.17,13234.16
08aeabc0-9a00-43c4-ae5a-53a16dfa6c4e,,,5559.95,5559.96
08afa67d-be8c-4ea4-af29-fb4f8809872d,,,5683.110000000001,5683.1
08b7cc3e-a488-4184-83bc-dd496ed9f7a3,,,10471.03,10471.01
08c16bcd-fa9e-4de0-8229-7cee1ee657e5,,,37425.9,37425.88
08c6ec98-9d04-4831-a2ec-ed9cea178082,,,37099.920000000006,37099.9
08c878b6-90c6-42c6-a241-ce77a1f22de5,,,657738.72,657738.66
08cb01d6-5a77-4539-afbd-2ec2141e2d68,,,1775596.2799999998,1775596.29
08d08ca8-8d1b-4294-983c-326b468c8bc5,,,62144.31,62144.33
08d26ee1-a624-49bc-9aac-375be03fed3f,,,115319.72000000004,115319.7
08d5073c-9604-4fe3-bdae-fdec4c9d40e6,,,10085.58,10085.57
08ec92eb-3c50-485a-b080-ffb761fd6d62,,,131076.44,131076.43
08ed05f7-08db-4d96-a2b9-adaf65e649b0,,,10431.88,10431.87
08f2daa2-2728-40fa-a56c-be9e015de7dc,,,16556.420000000002,16556.41
08f36e43-4f57-41e3-9100-cd6cdb783b55,,,28675.79,28675.78
